	scores
0	0.531
1	0.464
2	-0.03
3	0.974
4	-0.245
5	0.151
6	0.822
7	0.976
8	0.202
9	0.943
10	0.655
11	0.794
12	0.051
13	0.632
14	0.946
15	0.462
16	0.375
17	0.642
18	0.88
19	-0.089
20	0.823
21	-0.262
22	0.335
23	-0.019
24	0.839
25	0.542
26	-0.044
27	0.591
28	0.249
29	0.818
30	0.612
31	0.773
32	0.597
33	0.151
34	0.707
35	-0.095
36	0.821
37	0.983
38	0.588
39	0.637
40	0.317
41	0.988
42	0.862
43	0.332
44	0.71
45	0.589
46	0.625
47	0.968
48	0.927
49	0.785
50	0.077
51	0.981
52	0.804
53	0.912
54	0.446
55	0.785
56	0.841
57	0.548
58	0.798
59	0.677
60	0.755
61	0.825
62	0.534
63	0.946
64	0.605
65	0.64
66	0.877
67	0.992
68	0.502
69	0.085
70	0.979
71	0.794
72	0.771
73	0.805
74	0.751
75	0.901
76	0.673
77	0.625
78	0.625
79	0.906
80	0.224
81	0.486
82	0.606
83	0.341
84	0.577
85	0.154
86	0.606
87	0.82
88	0.663
89	0.559
90	0.653
91	0.549
92	0.942
93	0.755
94	0.201
95	0.723
96	0.556
97	0.844
98	-0.126
99	0.631
100	0.62
101	0.616
102	0.76
103	0.086
104	0.453
105	0.127
106	0.562
107	0.628
108	0.258
109	0.951
110	0.64
111	0.506
112	0.966
113	0.096
114	0.686
115	0.902
116	0.662
117	0.91
118	0.043
119	0.975
120	0.948
121	0.981
122	0.71
123	0.209
124	-0.146
125	0.956
126	0.458
127	0.418
128	0.171
129	0.582
130	0.868
131	0.912
132	0.733
133	0.966
134	0.782
135	-0.005
136	0.075
137	0.998
138	0.998
139	0.731
140	0.793
141	0.757
142	-0.033
143	0.922
144	0.379
145	0.521
146	0.925
