	scores
0	0.482
1	0.773
2	0.713
3	0.912
4	0.851
5	0.603
6	0.933
7	0.913
8	0.995
9	0.309
10	0.706
11	0.846
12	0.747
13	0.53
14	0.884
15	0.697
16	0.361
17	0.884
18	0.942
19	0.564
20	0.771
21	0.32
22	0.841
23	0.816
24	0.598
25	0.78
26	0.85
27	0.651
28	0.94
29	0.422
30	0.663
31	0.721
32	0.635
33	0.944
34	0.769
35	0.921
36	0.934
37	0.773
38	0.164
39	0.698
40	0.861
41	0.96
42	0.591
43	0.85
44	0.906
45	0.569
46	0.803
47	0.787
48	0.906
49	0.94
50	0.554
51	0.784
52	0.783
53	0.906
54	0.283
55	0.764
56	0.962
57	0.915
58	0.927
59	0.782
60	0.97
61	0.978
62	0.514
63	0.873
64	0.782
65	0.62
66	0.681
67	0.734
68	0.964
69	0.564
70	0.705
71	0.991
72	0.594
73	0.784
74	0.948
75	0.629
76	0.786
77	0.818
78	0.244
79	0.344
80	0.919
81	0.949
82	0.665
83	-0.246
84	0.202
85	0.662
86	0.837
87	0.766
88	0.572
89	0.872
90	0.775
91	0.723
92	0.312
93	0.831
94	0.718
95	0.719
96	0.679
97	0.443
98	0.476
99	0.798
100	0.809
101	0.654
102	0.826
103	0.581
104	0.787
105	0.803
106	0.868
107	0.801
108	0.959
109	0.543
110	0.595
111	0.942
112	0.794
113	0.783
114	0.564
115	0.544
116	0.781
117	0.963
118	0.717
119	0.755
120	0.812
121	0.741
122	0.929
123	0.92
124	-0.058
125	0.412
126	-0.014
127	0.305
128	0.875
129	0.798
130	0.631
131	0.867
132	0.61
133	0.485
134	0.66
135	0.655
136	0.178
137	0.781
138	0.758
139	0.5
140	0.987
141	0.634
142	0.619
143	0.525
144	0.885
145	0.734
146	0.834
