	match	scores
0	0	0.491
1	0	0.542
2	0	0.529
3	0	0.494
4	0	0.583
5	0	0.596
6	0	0.507
7	0	0.49
8	0	0.605
9	0	0.541
10	0	0.476
11	0	0.664
12	0	0.49
13	0	0.569
14	1	0.725
15	0	0.467
16	0	0.533
17	0	0.615
18	0	0.583
19	0	0.578
20	0	0.674
21	0	0.593
22	0	0.546
23	0	0.641
24	0	0.57
25	0	0.661
26	0	0.54
27	0	0.477
28	1	0.723
29	0	0.569
30	0	0.578
31	0	0.563
32	0	0.538
33	0	0.641
34	0	0.487
35	0	0.529
36	0	0.528
37	0	0.527
38	0	0.586
39	0	0.529
40	0	0.589
41	0	0.527
42	0	0.601
43	0	0.642
44	0	0.569
45	0	0.542
46	0	0.646
47	0	0.451
48	0	0.497
49	0	0.61
50	0	0.595
51	0	0.594
52	0	0.583
53	0	0.621
54	0	0.503
55	0	0.688
56	0	0.473
57	0	0.588
58	0	0.494
59	0	0.575
60	0	0.617
61	0	0.603
62	0	0.61
63	0	0.602
64	0	0.586
65	0	0.546
66	0	0.657
67	0	0.629
68	0	0.524
69	0	0.62
70	0	0.612
71	0	0.549
72	0	0.536
73	0	0.582
74	1	0.703
75	1	0.702
76	0	0.559
77	0	0.532
78	0	0.494
79	0	0.553
80	0	0.591
81	0	0.612
82	0	0.537
83	0	0.592
84	1	0.708
85	0	0.586
86	0	0.529
87	0	0.559
88	0	0.622
89	0	0.415
90	0	0.64
91	0	0.588
92	0	0.5
93	0	0.496
94	0	0.579
95	0	0.483
96	0	0.569
97	0	0.595
98	0	0.49
99	0	0.414
100	0	0.53
101	0	0.449
102	0	0.56
103	0	0.548
104	0	0.625
105	0	0.512
106	0	0.555
107	0	0.517
108	0	0.484
109	0	0.608
110	0	0.538
111	0	0.576
