	match	scores
0	0	0.37
1	0	0.489
2	0	0.535
3	0	0.343
4	1	0.758
5	1	0.696
6	1	0.694
7	0	0.281
8	0	0.527
9	1	0.704
10	1	0.704
11	1	0.567
12	1	0.578
13	0	0.537
14	1	0.665
15	1	0.632
16	0	0.537
17	1	0.59
18	1	0.744
19	1	0.653
20	0	0.5
21	1	0.689
22	1	0.598
23	1	0.722
24	0	0.537
25	1	0.7
26	0	0.367
27	1	0.668
28	0	0.5
29	1	0.625
30	1	0.603
31	1	0.702
32	1	0.726
33	1	0.74
34	1	0.694
35	0	0.481
36	0	0.544
37	1	0.62
38	1	0.725
39	1	0.688
40	1	0.637
41	1	0.692
42	1	0.554
43	1	0.594
44	1	0.688
45	1	0.671
46	1	0.639
47	0	0.474
48	1	0.623
49	1	0.619
50	0	0.498
51	1	0.572
52	1	0.677
53	0	0.499
54	0	0.426
55	0	0.547
56	0	0.314
57	1	0.685
58	1	0.655
59	1	0.619
60	1	0.625
61	1	0.707
62	1	0.584
63	1	0.673
64	1	0.84
65	1	0.727
66	1	0.728
67	1	0.769
68	1	0.682
69	0	0.542
70	1	0.669
71	1	0.663
72	1	0.639
73	1	0.632
74	1	0.65
75	1	0.775
76	1	0.696
77	1	0.673
78	0	0.43
79	0	0.499
80	1	0.651
81	1	0.789
82	1	0.708
83	1	0.661
84	1	0.577
85	1	0.666
86	1	0.788
87	1	0.786
88	1	0.644
89	1	0.759
90	1	0.641
91	0	0.452
92	1	0.686
93	1	0.673
94	0	0.534
95	1	0.734
96	0	0.526
97	0	0.36
98	0	0.518
99	1	0.573
100	1	0.624
101	0	0.527
102	1	0.565
103	1	0.689
104	1	0.566
105	1	0.741
106	1	0.61
107	0	0.524
108	0	0.528
109	1	0.603
110	1	0.613
111	0	0.541
