	scores
0	0.343
1	0.107
2	0.867
3	0.814
4	0.088
5	0.582
6	0.466
7	0.284
8	0.702
9	0.681
10	0.988
11	0.802
12	0.97
13	0.406
14	0.893
15	0.1
16	-0.129
17	0.698
18	0.99
19	0.406
20	0.79
21	0.474
22	0.877
23	0.802
24	0.4
25	0.39
26	-0.213
27	0.145
28	0.867
29	0.66
30	0.671
31	0.963
32	0.974
33	0.807
34	0.911
35	0.616
36	-0.212
37	0.973
38	0.659
39	0.608
40	0.24
41	0.756
42	0.037
43	0.47
44	0.359
45	0.487
46	0.835
47	-0.3
48	0.78
49	-0.165
50	0.845
51	0.687
52	0.942
53	0.63
54	0.632
55	-0.278
56	0.054
57	0.619
58	0.652
59	0.464
60	0.81
61	0.389
62	-0.253
63	0.521
64	-0.507
65	0.97
66	0.429
67	0.415
68	-0.497
69	0.043
70	0.78
71	0.135
72	0.71
73	-0.192
74	0.814
75	-0.54
76	0.277
77	0.536
78	-0.196
79	0.863
80	0.035
81	0.503
82	0.619
83	0.144
84	-0.452
85	0.862
86	0.067
87	0.353
88	0.746
89	-0.455
90	0.374
91	0.108
92	0.094
93	0.491
94	-0.309
95	0.406
96	0.777
97	0.955
98	0.383
99	-0.071
100	-0.188
101	0.25
102	0.97
103	0.167
104	-0.27
105	0.151
106	0.664
107	0.59
108	0.317
109	-0.121
110	-0.749
111	0.535
