	scores
0	0.885
1	0.299
2	0.886
3	0.833
4	0.723
5	0.65
6	0.684
7	0.819
8	0.734
9	0.907
10	0.917
11	0.503
12	0.989
13	0.907
14	0.964
15	0.292
16	0.318
17	0.737
18	0.939
19	0.423
20	0.515
21	0.833
22	0.896
23	0.873
24	0.614
25	0.938
26	0.207
27	0.34
28	0.796
29	0.679
30	0.046
31	0.355
32	0.955
33	0.878
34	0.86
35	0.805
36	0.999
37	0.99
38	0.778
39	0.829
40	0.272
41	0.664
42	0.647
43	0.505
44	0.904
45	0.957
46	0.872
47	0.856
48	0.64
49	0.926
50	0.577
51	0.723
52	0.501
53	0.666
54	0.788
55	0.894
56	0.626
57	0.801
58	0.785
59	0.982
60	0.846
61	0.954
62	0.935
63	0.692
64	0.936
65	0.57
66	0.382
67	0.396
68	0.958
69	0.186
70	0.957
71	0.098
72	0.826
73	0.852
74	0.722
75	0.858
76	0.437
77	0.708
78	0.494
79	0.674
80	0.827
81	0.311
82	0.919
83	0.295
84	0.943
85	0.675
86	0.785
87	0.459
88	0.308
89	0.949
90	0.538
91	0.171
92	0.637
93	0.433
94	0.545
95	0.998
96	0.701
97	0.968
98	0.972
99	0.908
100	0.738
101	0.822
102	0.894
103	0.725
104	0.609
105	0.705
106	0.59
107	0.517
108	0.898
109	0.836
110	-0.329
111	0.608
